Covariate,GG0130A1,GG0130B1,GG0130C1,GG0170A1,GG0170C1,GG0170D1,GG0170E1,GG0170F1,GG0170I1,GG0170J1,GG0170R1
Eating (GG0130A1) - Valid Score,--,0.5630,-0.0563,0.0285,0.0395,0.0806,0.0731,0.0234,0.0317,0.0554,0.0454
Eating (GG0130A1) - Not Attempted,--,1.1629,-0.8678,-0.6799,-0.3853,1.1101,0.0675,-0.8952,1.1176,0.1395,-0.0090
Oral Hygiene (GG0130B1) - Valid Score,0.4940,--,0.0162,0.0931,-0.0100,-0.0161,-0.0415,0.0257,-0.0344,0.0284,0.0276
Oral Hygiene (GG0130B1) - Not Attempted,2.0680,--,-0.5949,0.1883,0.5307,-0.2216,-1.6589,0.7155,0.4259,0.1763,0.0271
Toileting Hygiene (GG0130C1) - Valid Score,0.0334,0.1054,--,0.0113,0.0040,-0.0508,0.1622,0.0569,-0.0545,0.0570,-0.0200
Toileting Hygiene (GG0130C1) - Not Attempted,-0.5536,0.4607,--,1.4167,1.1997,-1.4750,0.8479,-0.3078,-0.0641,0.6754,-0.0093
Shower/Bathe Self (GG0130E1) - Valid Score,0.0841,0.0208,0.3382,0.0270,0.0311,0.0636,0.0972,0.0907,0.0435,-0.0342,0.0336
Shower/Bathe Self (GG0130E1) - Not Attempted,0.3125,-0.0432,0.7769,0.1614,-0.0821,0.1918,0.3366,0.2331,0.2447,-0.1589,0.0937
Upper Body Dressing (GG0130F1) - Valid Score,0.1553,0.2653,0.0447,0.0533,-0.0263,-0.0224,0.0176,-0.1028,-0.0501,-0.0370,0.0727
Upper Body Dressing (GG0130F1) - Not Attempted,1.6815,1.2103,0.3406,-1.5619,0.4975,-0.5183,-0.1650,-2.7194,0.3093,-0.2773,0.4381
Lower Body Dressing (GG0130G1) - Valid Score,-0.1765,-0.0259,0.4514,-0.0349,0.1022,-0.1033,0.1226,-0.0192,0.2505,0.1189,-0.0001
Lower Body Dressing (GG0130G1) - Not Attempted,-0.8051,0.0186,1.8534,0.1656,1.2966,-0.7281,1.2456,1.0855,0.3189,0.9975,-0.2691
Put on/Take off Footwear (GG0130H1) - Valid Score,0.0961,-0.0333,0.1142,0.0221,-0.0323,0.0175,-0.0064,-0.0022,-0.1447,-0.0229,0.0020
Put on/Take off Footwear (GG0130H1) - Not Attempted,-0.0652,-0.1799,0.5186,0.8334,-0.6439,0.6417,-0.0686,0.7305,-0.5836,-0.4496,0.0961
Roll Left and Right (GG0170A1) - Valid Score,0.0791,0.0366,0.0313,--,-0.0279,-0.0649,0.0587,0.0725,0.0769,0.0141,0.0880
Roll Left and Right (GG0170A1) - Not Attempted,0.3582,-0.2149,0.1686,--,-1.6168,-0.9781,1.4976,1.5809,0.6556,-0.7055,0.4841
Sit to Lying (GG0170B1) - Valid Score,0.1097,0.1714,0.0044,0.6596,1.1962,0.3547,0.2148,0.0022,0.1478,-0.0330,0.0510
Sit to Lying (GG0170B1) - Not Attempted,0.0142,-0.0377,-0.2532,0.0742,6.0172,3.2939,1.8048,0.4774,2.0918,-1.9283,0.0316
Lying to Sitting on Side of Bed (GG0170C1) - Valid Score,-0.1150,-0.1034,0.0585,0.5205,--,0.0887,0.3243,0.0432,-0.1738,0.0155,-0.0136
Lying to Sitting on Side of Bed (GG0170C1) - Not Attempted,-0.1577,0.1188,0.1458,1.6099,--,0.8702,-1.4297,-0.5381,-1.6740,3.0221,-0.1445
Sit to Stand (GG0170D1) - Valid Score,0.0150,0.0223,-0.0914,-0.0211,-0.0418,--,--,0.9536,0.2536,0.1435,-0.0021
Sit to Stand (GG0170D1) - Not Attempted,0.0509,-0.0758,-0.6493,-0.1710,-0.0652,--,--,2.6707,1.0559,-0.5812,-0.0303
Chair/Bed-to-Chair Transfer (GG0170E1) - Valid Score,0.0542,-0.0361,0.2105,0.0648,0.0929,--,--,--,0.4744,0.3457,0.0767
Chair/Bed-to-Chair Transfer (GG0170E1) - Not Attempted,-0.0406,-0.0860,0.7521,0.2492,0.2108,--,--,--,0.8967,1.3231,-0.1016
Toilet Transfer (GG0170F1) - Valid Score,0.0198,-0.0254,0.1282,-0.0227,0.0527,0.9439,--,--,-0.0333,0.2054,-0.0178
Toilet Transfer (GG0170F1) - Not Attempted,0.0580,-0.0056,0.0970,-0.0044,0.0535,2.2602,--,--,-0.4429,0.5842,-0.1179
Car Transfer (GG0170G1) - Valid Score,0.0165,-0.0077,0.0222,-0.0211,0.0756,0.0841,0.1395,--,-0.0459,0.1044,-0.0133
Car Transfer (GG0170G1) - Not Attempted,0.1039,-0.0174,0.0755,-0.0555,0.1809,0.1255,0.3007,--,-0.1127,0.3516,-0.0236
Walk 10 Feet (GG0170I1) - Valid Score,0.0131,-0.0871,0.1234,0.1524,0.1034,0.3452,0.3716,0.3934,--,--,0.0657
Walk 10 Feet (GG0170I1) - Not Attempted,3.7602,9.0201,-1.4169,2.6638,-1.2663,-0.2743,-0.1363,-0.5896,--,--,2.0777
Walk 50 Feet With 2 Turns (GG0170J1) - Valid Score,0.0801,0.1302,-0.2268,-0.1281,0.0396,-0.1529,0.0036,-0.0689,0.6475,--,0.0190
Walk 50 Feet With 2 Turns (GG0170J1) - Not Attempted,0.2571,0.4902,-0.8948,-0.5754,0.0121,-0.7163,0.0389,-0.3368,1.8114,--,0.0163
Walk 50 Feet With 2 Turns (GG0170J1) - Skipped,-3.5751,-9.0603,1.8402,-2.5293,1.9141,--,--,1.3553,--,--,-2.1832
Walk 150 Feet (GG0170K1) - Valid Score,-0.0454,-0.1611,0.3484,0.1382,0.1930,0.4348,-0.1384,0.0495,-0.0504,--,-0.1223
