Item,GG0130A1,GG0130B1,GG0130C1,GG0170A1,GG0170C1,GG0170D1,GG0170E1,GG0170F1,GG0170I1,GG0170J1,GG0170R1
Model Threshold 1,-0.1123,1.4879,2.8737,2.3401,4.2872,4.304,5.3876,5.0562,3.9142,6.1533,3.339
Model Threshold 2,0.6144,2.5838,4.5488,4.2169,7.2511,6.7892,7.8085,7.3647,4.6879,6.6822,4.3719
Model Threshold 3,1.3938,3.8326,6.3553,6.2126,10.435,10.0151,11.2353,10.3898,6.7485,8.6952,5.4746
Model Threshold 4,2.5248,5.0506,8.1051,7.9598,13.6939,13.5503,15.3698,13.8425,10.1968,12.692,6.8456
Model Threshold 5,4.3795,6.7074,8.6432,8.2783,14.7376,14.3346,16.4788,14.7658,10.6805,13.5531,7.4021
?54 Years,-0.1264,-0.0469,-0.0087,0.0365,0.0592,-0.0584,0.1257,0.0169,-0.0883,-0.0152,0.0627
55–64 Years,-0.0552,-0.0237,-0.0096,0.0181,0.0223,-0.0184,0.0144,0.0102,-0.0557,0.0018,0.0339
65–74 Years (Reference Category),Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference
75–84 Years,0.019,0.0012,0.0102,-0.0122,-0.0211,0.0076,-0.0093,0.0119,0.0292,0.0112,-0.0208
85–90 Years,0.0195,-0.0078,0.0305,-0.0107,-0.0298,0.0005,-0.0098,0.0211,0.0307,0.0333,-0.0481
>90 Years,0.0106,-0.0088,0.034,-0.0165,-0.0402,-0.0035,-0.0058,0.027,0.035,0.0193,-0.0313
Primary Medical Condition Category: Hip and Knee Replacements (Reference Category),Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference,Reference
Primary Medical Condition Category: Stroke,-0.2455,-0.0275,-0.2159,0.1238,0.0688,0.001,-0.0563,-0.0259,-0.1586,-0.1025,-0.0763
Primary Medical Condition Category: Non-Traumatic Brain Dysfunction and Traumatic Brain Dysfunction,-0.1577,-0.0527,-0.209,0.1575,0.0341,0.0091,-0.0392,-0.0161,-0.1132,-0.0921,-0.0484
Primary Medical Condition Category: Non-Traumatic Spinal Cord Dysfunction,-0.1453,0.1255,-0.2087,0.0762,0.0449,0.0013,0.0691,-0.0381,-0.1227,0.002,-0.0447
Primary Medical Condition Category: Traumatic Spinal Cord Dysfunction,-0.3516,0.0828,-0.2687,0.0427,0.0228,-0.1257,0.2015,0.0258,-0.1317,0.1197,0.0807
Primary Medical Condition Category: Progressive Neurological Conditions,-0.2709,-0.0171,-0.2241,0.087,0.0278,-0.0181,-0.0874,-0.0059,-0.1085,-0.0775,0.022
Primary Medical Condition Category: Other Neurological Conditions,-0.194,-0.038,-0.2038,0.0825,0.0752,-0.0163,-0.0313,-0.0209,-0.1633,-0.0804,-0.0357
Primary Medical Condition Category: Fractures and Other Multiple Trauma,-0.065,0.0867,-0.2062,-0.0299,0.0368,0.0068,-0.0256,-0.0307,-0.1584,-0.092,-0.0736
Primary Medical Condition Category: Amputation,-0.0617,0.064,-0.3488,0.2392,0.1947,-0.3778,0.0722,-0.1451,-0.4234,-0.2376,0.0558
Primary Medical Condition Category: Other Orthopedic Conditions,-0.1168,0.0322,-0.1835,0.0393,0.0779,-0.0173,-0.0209,-0.0207,-0.1405,-0.0757,-0.0485
"Primary Medical Condition Category: Debility, Cardiorespiratory Conditions ",-0.0674,-0.0051,-0.2047,0.1224,0.0379,-0.0081,-0.0311,-0.0061,-0.0523,-0.1047,-0.0188
Primary Medical Condition Category: Medically Complex Conditions,-0.0838,0.0025,-0.2137,0.1206,0.0509,-0.0094,-0.0246,-0.0087,-0.0934,-0.0736,-0.0134
Prior Surgery,0.0237,0.0681,-0.02,-0.0438,-0.0165,0.0011,-0.0053,-0.0055,0.0063,0.0233,-0.0175
"Prior Functioning, Self-Care: Dependent",-0.1696,-0.2266,-0.1711,-0.1616,-0.1147,-0.044,-0.1695,-0.0576,0.0631,0.0315,-0.0784
"Prior Functioning, Self-Care: Some Help",-0.0363,-0.0596,-0.0288,-0.0056,0.0062,0.0012,0.006,0.0044,0.022,-0.0083,0.0076
"Prior Functioning, Indoor Mobility (Ambulation): Dependent",-0.0074,0.0197,-0.0021,-0.0366,-0.0852,-0.0852,-0.0597,-0.1053,-0.5382,0.046,-0.1952
"Prior Functioning, Indoor Mobility (Ambulation): Some Help",-0.0536,-0.0114,0.0585,-0.0371,-0.008,0.0134,0.0248,-0.0098,-0.0987,-0.0301,0.0095
"Prior Functioning, Stairs: Dependent",-0.0063,0.0558,-0.0415,-0.0032,0.0291,-0.0114,0.0806,-0.061,-0.0647,0.0365,0.0684
"Prior Functioning, Stairs: Some Help",-0.0415,0.0127,-0.006,0.0157,0.0006,0.0026,-0.0015,-0.0267,-0.0316,0.0043,-0.0421
"Prior Functioning, Functional Cognition: Dependent",-0.035,-0.2218,-0.0434,-0.0114,-0.003,0.0225,0.0279,0.0058,0.0935,0.0363,-0.01
Prior Mobility Device Use: Walker,0.0263,0.0382,-0.0452,0.0034,0.0093,-0.0012,-0.024,0.0019,0.052,-0.0184,-0.0874
Prior Mobility Device Use: Manual Wheelchair and/or Motorized Wheelchair and/or Scooter,0.0286,0.0442,0.0069,0.0305,-0.0063,-0.058,0.0074,-0.0029,-0.1396,-0.0853,0.1623
Prior Mobility Device Use: Mechanical Lift,0.0555,0.0196,-0.1626,-0.1605,-0.1465,-0.1683,-0.6997,-0.176,0.0082,-0.0187,0.0034
Prior Mobility Device Use: Orthotics/Prosthetics,-0.0113,0.063,-0.0527,0.035,0.0332,-0.0712,0.0267,-0.0451,-0.0536,0.0332,0.0834
No Physical or Occupational Therapy – Admission,0.0798,-0.0693,0.1362,-0.0169,-0.1074,0.0355,0.0603,-0.0164,0.3145,0.2059,0.0294
Stage 2 Pressure Ulcer – Admission,-0.0244,0.0264,-0.058,-0.0428,-0.0132,-0.0357,-0.0392,-0.0261,-0.0457,0.0275,-0.0553
"Stage 3, 4 or Unstageable Pressure Ulcer/Injury – Admission",-0.0597,0.009,-0.0743,-0.0779,-0.0253,-0.0718,-0.0652,-0.0414,-0.0442,-0.0362,-0.0632
"Cognitive Function, BIMS Score: Moderately Impaired – Admission",-0.0787,-0.1138,-0.0157,-0.0128,-0.011,0.0094,-0.0164,0.0022,-0.0334,-0.0218,-0.0232
"Cognitive Function, BIMS Score: Severely Impaired – Admission",-0.2007,-0.2417,-0.0265,-0.0241,-0.0122,0.019,0.0067,0.006,-0.0293,-0.0085,-0.038
Communication Impairment: Moderate to Severe – Admission,-0.2928,-0.2039,-0.0344,-0.0632,-0.0262,-0.0091,-0.0133,-0.0405,-0.0074,0.0377,-0.0656
Communication Impairment: Mild – Admission,-0.0824,-0.0767,-0.0053,0.0016,-0.0056,0.0116,-0.0125,-0.0104,-0.0222,0.005,0.0169
"Urinary Continence: Occasionally Incontinent, Frequently Incontinent, or Always Incontinent – Admission",0.0315,0.0359,-0.1462,0.0162,-0.0295,-0.0114,0.0068,-0.0459,0.0148,-0.0336,0.0506
