itm_id,val_id,val_txt
C0400C,1,"Yes, after cueing (""a piece of furniture"")"
C0400C,0,No - could not recall
C0400C,-,Not assessed/no information
C0400C,^,Blank (skip pattern)
C0500,00,Minimum value
C0500,15,Maximum value
C0500,99,Unable to complete interview
C0500,-,Not assessed/no information
C0500,^,Blank (skip pattern)
C0600,0,No (resident was able to complete Brief Interview for Mental Status)
C0600,1,Yes (resident was unable to complete Brief Interview for Mental Status)
C0600,-,Not assessed/no information
C0600,^,Blank (skip pattern)
C0700,0,Memory OK
C0700,1,Memory problem
C0700,-,Not assessed/no information
C0700,^,Blank (skip pattern)
C0800,0,Memory OK
C0800,1,Memory problem
C0800,-,Not assessed/no information
C0800,^,Blank (skip pattern)
C0900A,0,Not checked (No)
C0900A,1,Checked (Yes)
C0900A,-,Not assessed/no information
C0900A,^,Blank (skip pattern)
C0900B,0,Not checked (No)
C0900B,1,Checked (Yes)
C0900B,-,Not assessed/no information
C0900B,^,Blank (skip pattern)
C0900C,0,Not checked (No)
C0900C,1,Checked (Yes)
C0900C,-,Not assessed/no information
C0900C,^,Blank (skip pattern)
C0900D,0,Not checked (No)
C0900D,1,Checked (Yes)
C0900D,-,Not assessed/no information
C0900D,^,Blank (skip pattern)
C0900Z,0,Not checked (No)
C0900Z,1,Checked (Yes)
C0900Z,-,Not assessed/no information
C0900Z,^,Blank (skip pattern)
C1000,0,Independent-decisions consistent/reasonable
C1000,1,Modified independence-some difficulty in new situations only
C1000,2,Moderately impaired-decisions poor; cues/supervision required
C1000,3,Severely impaired-never/rarely made decisions
C1000,-,Not assessed/no information
C1000,^,Blank (skip pattern)
D0100,0,No (resident is rarely/never understood)
D0100,1,Yes
D0100,-,Not assessed/no information
D0100,^,Blank (skip pattern)
D0500A1,0,No (enter 0 in column 2)
D0500A1,1,Yes (enter 0-3 in column 2)
D0500A1,-,Not assessed/no information
D0500A1,^,Blank (skip pattern)
D0500A2,0,Never or 1 day
D0500A2,1,2-6 days (several days)
D0500A2,2,7-11 days (half or more of the days)
D0500A2,3,12-14 days (nearly every day)
D0500A2,-,Not assessed/no information
D0500A2,^,Blank (skip pattern)
D0500B1,0,No (enter 0 in column 2)
D0500B1,1,Yes (enter 0-3 in column 2)
D0500B1,-,Not assessed/no information
D0500B1,^,Blank (skip pattern)
D0500B2,0,Never or 1 day
D0500B2,1,2-6 days (several days)
D0500B2,2,7-11 days (half or more of the days)
D0500B2,3,12-14 days (nearly every day)
D0500B2,-,Not assessed/no information
D0500B2,^,Blank (skip pattern)
D0500C1,0,No (enter 0 in column 2)
D0500C1,1,Yes (enter 0-3 in column 2)
D0500C1,-,Not assessed/no information
D0500C1,^,Blank (skip pattern)
D0500C2,0,Never or 1 day
D0500C2,1,2-6 days (several days)
D0500C2,2,7-11 days (half or more of the days)
D0500C2,3,12-14 days (nearly every day)
D0500C2,-,Not assessed/no information
D0500C2,^,Blank (skip pattern)
D0500D1,0,No (enter 0 in column 2)
D0500D1,1,Yes (enter 0-3 in column 2)
D0500D1,-,Not assessed/no information
D0500D1,^,Blank (skip pattern)
D0500D2,0,Never or 1 day
D0500D2,1,2-6 days (several days)
D0500D2,2,7-11 days (half or more of the days)
D0500D2,3,12-14 days (nearly every day)
D0500D2,-,Not assessed/no information
D0500D2,^,Blank (skip pattern)
D0500E1,0,No (enter 0 in column 2)
D0500E1,1,Yes (enter 0-3 in column 2)
D0500E1,-,Not assessed/no information
D0500E1,^,Blank (skip pattern)
D0500E2,0,Never or 1 day
D0500E2,1,2-6 days (several days)
D0500E2,2,7-11 days (half or more of the days)
D0500E2,3,12-14 days (nearly every day)
D0500E2,-,Not assessed/no information
D0500E2,^,Blank (skip pattern)
