itm_mstr_key,sys_cd,form_vrsn,spec_vrsn,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,itm_txt,isc_active,isc_inactive,isc_state_opt,NC,NP,NQ,ND,NT,NPE,IPA,SP,SD,ST,XX
1,MDS,,,100,ASMT_SYS_CD,ASMT_SYS_CD,Assessment system code,01,Control,Control,,Code,100,1,10,1-10,10,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
2,MDS,,,200,ITM_SBST_CD,MDS_ITM_SBST_CD,Item subset code,01,Control,Control,,Code,200,11,13,11-13,3,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
3,MDS,,,300,ITM_SET_VRSN_CD,ITM_SET_VRSN_CD,Item set version code,01,Control,Control,,Code,300,14,23,14-23,10,[V3.10.0]-Added new valid value [1.20] for the new item set.,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
4,MDS,,,400,SPEC_VRSN_CD,SPEC_VRSN_CD,Specifications version code,01,Control,Control,,Code,400,24,33,24-33,10,[V3.10.0]-Added new valid value [3.10] for the new specs.,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
6,MDS,,,600,PRODN_TEST_CD,PRODN_TEST_CD,Production/test indicator,01,Control,Control,,Code,600,34,34,34-34,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
7,MDS,,,700,STATE_CD,STATE_CD,Facility's state postal code,01,Control,Control,,Code,700,35,36,35-36,2,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
8,MDS,,,800,FAC_ID,FAC_ID,Assigned facility/provider submission ID,01,Control,Control,,Text,800,37,52,37-52,16,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
9,MDS,,,900,SFTWR_VNDR_ID,SFTWR_VNDR_ID,Software vendor federal employer tax ID,01,Control,Control,,Text,900,53,61,53-61,9,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
10,MDS,,,1000,SFTWR_VNDR_EMAIL_ADR,SFTWR_VNDR_EMAIL_ADR,Software vendor email address,01,Control,Control,,Text,1000,92,141,92-141,50,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
11,MDS,,,1100,SFTWR_PROD_NAME,SFTWR_PROD_NAME,Software product name,01,Control,Control,,Text,1100,142,191,142-191,50,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
12,MDS,,,1200,SFTWR_PROD_VRSN_CD,SFTWR_PROD_VRSN_CD,Software product version code,01,Control,Control,,Text,1200,192,211,192-211,20,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
13,MDS,,,1300,FAC_DOC_ID,FAC_DOC_ID,Facility document ID,01,Control,Control,,Text,1300,212,231,212-231,20,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,x,x,x,x,x,x,x,x,x,x,x
14,MDS,,,1400,A0100A,NPI_NUM,Facility National Provider Identifier (NPI),02,A,Asmt,,Text,1400,232,241,232-241,10,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
15,MDS,,,1500,A0100B,CMS_CRTFCTN_NUM,Facility CMS Certification Number (CCN),02,A,Asmt,,Text,1500,242,253,242-253,12,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
16,MDS,,,1600,A0100C,STATE_PRVDR_NUM,State provider number,02,A,Asmt,,Text,1600,254,268,254-268,15,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
17,MDS,,,1700,A0200,PRVDR_TYPE_CD,Type of provider,02,A,Asmt,,Code,1700,269,269,269-269,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
18,MDS,,,2600,A0500A,FIRST_NAME,Resident first name,02,A,Asmt,,Text,2600,280,291,280-291,12,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
19,MDS,,,2700,A0500B,MDL_INITL_TXT,Resident middle initial,02,A,Asmt,,Text,2700,292,292,292-292,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
20,MDS,,,2800,A0500C,LAST_NAME,Resident last name,02,A,Asmt,,Text,2800,293,310,293-310,18,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
21,MDS,,,2900,A0500D,SFX_TXT,Resident name suffix,02,A,Asmt,,Text,2900,311,313,311-313,3,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
22,MDS,,,3000,A0600A,SSN_NUM,Social Security Number,02,A,Asmt,,Text,3000,314,322,314-322,9,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
23,MDS,,,3100,A0600B,MDCR_NUM,Medicare number,02,A,Asmt,,Text,3100,323,334,323-334,12,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
24,MDS,,,3200,A0700,MDCD_NUM,Medicaid number,02,A,Asmt,,Text,3200,335,348,335-348,14,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
25,MDS,,,3300,A0800,GNDR_CD,Gender,02,A,Asmt,,Code,3300,350,350,350-350,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
26,MDS,,,3400,A0900,BIRTH_DT,Birthdate,02,A,Asmt,,Date,3400,351,358,351-358,8,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
27,MDS,,,70384,ITEM_FILLER_062,AMRCN_INDN_AK_NTV_CD,Item filler: replaces old A1000A,28,Filler,Filler,,Text,3500,359,359,359-359,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
28,MDS,,,70385,ITEM_FILLER_063,ASN_CD,Item filler: replaces old A1000B,28,Filler,Filler,,Text,3600,360,360,360-360,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
29,MDS,,,70386,ITEM_FILLER_064,AFRCN_AMRCN_CD,Item filler: replaces old A1000C,28,Filler,Filler,,Text,3700,361,361,361-361,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
30,MDS,,,70387,ITEM_FILLER_065,HSPNC_CD,Item filler: replaces old A1000D,28,Filler,Filler,,Text,3800,362,362,362-362,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
31,MDS,,,70388,ITEM_FILLER_066,NTV_HI_PCFC_ISLNDR_CD,Item filler: replaces old A1000E,28,Filler,Filler,,Text,3900,363,363,363-363,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
32,MDS,,,70389,ITEM_FILLER_067,WHT_CD,Item filler: replaces old A1000F,28,Filler,Filler,,Text,4000,364,364,364-364,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
34,MDS,,,70390,ITEM_FILLER_068,NEED_INTRPTR_CD,Item filler: replaces old A1100A,28,Filler,Filler,,Text,4200,365,365,365-365,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
35,MDS,,,70391,ITEM_FILLER_069,INTRPTR_LANG_TXT,Item filler: replaces old A1100B,28,Filler,Filler,,Text,4300,366,380,366-380,15,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
36,MDS,,,4400,A1200,MRTL_STUS_CD,Marital status,02,A,Asmt,,Code,4400,381,381,381-381,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
